Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]"
Algeria,"DZA","GDP per capita (current US$)","NY.GDP.PCAP.CD","246.30876252962","214.776273516192","172.245997766356","226.899988804342","238.048532020905","249.883486058815","235.598111822427","253.923650753479","281.925745024389","302.752306734104","336.224855584547","341.388987340498","442.351878193504","554.755124929209","817.988308478181","936.790025769149","1037.60703844052","1192.74388765763","1456.41939597215","1782.69798137911","2202.99736479746","2237.08632490354","2210.30192760168","2312.65561948251","2467.34642199031","2582.87958916856","2757.13052415538","2807.33029744222","2417.3766834056","2215.84755797478","2408.68881482248","1731.61127444317","1776.03667438071","1807.32854846258","1507.86531803627","1452.26944487837","1603.93792062434","1619.80622391421","1596.00371429844","1588.34633112488","1765.02257651824","1740.60664921144","1781.8268640572","2103.38146694746","2609.95269152439","3113.09465076052","3478.7104363461","3950.51360518598","4923.63081802984","3883.27112717092","4480.78577696483","5455.84230963884","5592.22190972612","5499.58776363606","5493.05677189389","4177.8889657089","3948.81189736204","4048.28525822561","4278.85005953418"
Algeria,"DZA","Population, total","SP.POP.TOTL","11057863","11336339","11619828","11912803","12221675","12550885","12902627","13275026","13663583","14061722","14464985","14872250","15285990","15709825","16149025","16607707","17085801","17582904","18102266","18647815","19221665","19824301","20452902","21101875","21763575","22431502","23102389","23774284","24443467","25106190","25758869","26400479","27028326","27635515","28213774","28757785","29266405","29742979","30192754","30623406","31042235","31451514","31855109","32264157","32692163","33149724","33641002","34166972","34730608","35333881","35977455","36661444","37383887","38140132","38923687","39728025","40551404","41389198","42228429"
Algeria,"DZA","Population, male","SP.POP.TOTL.MA.IN","5564112","5701802","5841359","5985548","6138332","6302492","6479266","6667487","6864620","7066936","7271869","7478805","7689056","7904399","8127474","8360354","8603003","8855250","9118752","9395539","9686746","9992487","10311395","10641148","10978534","11320679","11666211","12013816","12360653","12703482","13039541","13367830","13687277","13995158","14288453","14565252","14825305","15069854","15300643","15520257","15731482","15935263","16133974","16333763","16542237","16765412","17005423","17262821","17539867","17838488","18159641","18503758","18869595","19254002","19652530","20061007","20478305","20902272","21326475"
Algeria,"DZA","Population, female","SP.POP.TOTL.FE.IN","5493751","5634537","5778469","5927255","6083343","6248393","6423361","6607539","6798963","6994786","7193116","7393445","7596934","7805426","8021551","8247353","8482798","8727654","8983514","9252276","9534919","9831814","10141507","10460727","10785041","11110823","11436178","11760468","12082814","12402708","12719328","13032649","13341049","13640357","13925321","14192533","14441100","14673125","14892111","15103149","15310753","15516251","15721135","15930394","16149926","16384312","16635579","16904151","17190741","17495393","17817814","18157686","18514292","18886130","19271157","19667018","20073099","20486926","20901954"
Algeria,"DZA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.138","46.596","47.054","47.507","47.956","48.392","48.809","49.208","49.595","49.98","50.369","50.77","51.198","51.673","52.215","52.863","53.658","54.606","55.696","56.906","58.196","59.521","60.823","62.047","63.156","64.113","64.896","65.525","66.025","66.416","66.725","66.983","67.226","67.482","67.774","68.115","68.504","68.926","69.367","69.822","70.292","70.778","71.276","71.78","72.281","72.767","73.225","73.648","74.032","74.374","74.676","74.944","75.187","75.418","75.641","75.86","76.078","76.293",""
American Samoa,"ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8700.06770480704","8856.54745899435","8578.94472277609","8444.98169974145","8391.56106721708","8909.44915617236","9792.66680581646","11961.2582255703","10271.2245225485","10294.3022651052","11568.7930012395","11505.3937142139","11525.1563872309","11843.3311832581","11714.8956782261","11398.7774181949",""
American Samoa,"ASM","Population, total","SP.POP.TOTL","20123","20602","21253","22034","22854","23672","24462","25248","25989","26703","27363","27984","28567","29100","29596","30052","30456","30838","31269","31845","32646","33701","34968","36412","37946","39519","41119","42740","44343","45894","47347","48685","49896","51020","52095","53161","54211","55221","56171","57053","57821","58494","59080","59504","59681","59562","59107","58365","57492","56683","56079","55759","55667","55713","55791","55812","55741","55620","55465"
American Samoa,"ASM","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
American Samoa,"ASM","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
American Samoa,"ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Andorra,"AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.55684977329","3498.1736515232","4217.17358114253","5342.16856044208","6319.73903384837","7169.10100559556","7152.37513361051","7751.37021575891","9129.7061851808","11820.8493928325","12377.4116456877","10372.232834745","9610.26630831575","8022.65478128161","7728.90669456943","7774.39382903478","10361.8159820255","12616.167565929","14304.3569645785","15166.437850754","18878.5059692988","19532.5401504525","20547.7117897897","16516.4710272204","16234.8090102012","18461.0648581512","19017.1745902241","18353.0597218473","18894.5214963227","19261.7105038886","21936.5301014708","22228.8464928922","24741.4935704562","32776.4422698769","38503.4796144857","41282.0201219785","43747.6918489433","48582.2208830236","47785.089272664","43338.8667579064","39736.3540626699","41100.7299382214","38392.9439012206","40626.7516320228","42300.3341276669","36039.6534962289","37224.1089162924","39134.3933706717","42029.7627372989"
